One shouldn't give too much reliance on the data for pT<0.3GeV, as the error will be large, and it is subject to the bounding function.
pt	y	ey
0.215696	0.014877	0.0127095
0.218976	0.0153735	0.0131048
0.222305	0.0158882	0.0135084
0.225686	0.0164219	0.0139193
0.229117	0.0169753	0.0143367
0.232601	0.0175494	0.0147593
0.236138	0.0181454	0.0151857
0.239729	0.0187647	0.0156143
0.243374	0.0194093	0.0160429
0.247075	0.0200812	0.0164693
0.250831	0.0207832	0.0168903
0.254645	0.0215189	0.0173022
0.258518	0.0222925	0.0177005
0.262448	0.0231092	0.0180798
0.266439	0.0239754	0.0184333
0.27049	0.0248988	0.0187534
0.274603	0.025888	0.0190309
0.278779	0.0269523	0.0192565
0.283018	0.0281012	0.0194203
0.287321	0.0293428	0.0195142
0.29169	0.0306827	0.0195322
0.296126	0.0321228	0.0194722
0.300628	0.0336609	0.0193363
0.3052	0.0352911	0.0191301
0.30984	0.037005	0.0188617
0.314552	0.0387933	0.0185405
0.319335	0.0406463	0.0181758
0.32419	0.0425551	0.0177762
0.32912	0.0445122	0.0173492
0.334124	0.0465109	0.0169014
0.339205	0.0485457	0.0164379
0.344363	0.0506119	0.0159633
0.349599	0.0527059	0.0154811
0.354915	0.0548246	0.0149942
0.360311	0.0569653	0.0145052
0.36579	0.0591259	0.014016
0.371352	0.0613046	0.0135281
0.376999	0.0634999	0.0130432
0.382731	0.0657103	0.0125624
0.388551	0.0679348	0.0120865
0.394459	0.0701725	0.0116167
0.400457	0.0724223	0.0111534
0.406546	0.0746835	0.0106976
0.412728	0.0769553	0.0102497
0.419004	0.0792373	0.00981032
0.425375	0.0815288	0.00937987
0.431843	0.0838293	0.00895883
0.43841	0.0861382	0.00854759
0.445076	0.0884552	0.00814654
0.451843	0.0907799	0.00775604
0.458714	0.0931118	0.00737645
0.465689	0.0954507	0.00700811
0.47277	0.097796	0.00665135
0.479959	0.100148	0.00630653
0.487257	0.102506	0.00597397
0.494666	0.104868	0.00565406
0.502188	0.107237	0.00534717
0.509824	0.109612	0.00505368
0.517576	0.111991	0.00477404
0.525446	0.114374	0.00450866
0.533436	0.116762	0.00425802
0.541547	0.119155	0.00402263
0.549781	0.121552	0.00380299
0.558141	0.123953	0.0035996
0.566628	0.126357	0.003413
0.575244	0.128765	0.00324363
0.583991	0.131177	0.00309189
0.592871	0.133592	0.00295807
0.601886	0.13601	0.0028423
0.611038	0.138432	0.00274452
0.620329	0.140856	0.00266441
0.629761	0.143284	0.00260139
0.639337	0.145715	0.00255463
0.649059	0.148148	0.00252304
0.658928	0.150584	0.0025053
0.668947	0.153022	0.00250001
0.679119	0.155464	0.00250563
0.689446	0.157908	0.00252064
0.699929	0.160354	0.00254355
0.710572	0.162803	0.00257297
0.721377	0.165254	0.00260762
0.732345	0.167707	0.00264635
0.743481	0.170163	0.00268817
0.754786	0.17262	0.00273221
0.766263	0.175082	0.00277775
0.777915	0.177544	0.00282419
0.789743	0.18001	0.00287101
0.801752	0.182477	0.00291781
0.813943	0.184947	0.00296428
0.826319	0.187419	0.00301018
0.838884	0.189894	0.0030553
0.85164	0.192371	0.00309953
0.86459	0.194851	0.00314275
0.877736	0.197333	0.00318492
0.891083	0.199817	0.00322601
0.904632	0.202304	0.00326601
0.918388	0.204794	0.00330492
0.932352	0.207286	0.00334278
0.946529	0.209782	0.00337961
0.960922	0.212279	0.00341545
0.975533	0.214779	0.00345037
0.990367	0.217283	0.0034844
1.00543	0.219788	0.0035176
1.02071	0.222297	0.00355003
1.03623	0.224809	0.00358174
1.05199	0.227324	0.0036128
1.06799	0.229842	0.00364328
1.08423	0.232363	0.00367323
1.10071	0.234887	0.00370274
1.11745	0.237414	0.00373189
1.13444	0.239944	0.00376077
1.15169	0.242478	0.00378949
1.1692	0.245015	0.00381818
1.18698	0.247555	0.00384696
1.20503	0.250098	0.00387602
1.22335	0.252645	0.00390552
1.24196	0.255195	0.0039357
1.26084	0.257748	0.0039668
1.28001	0.260305	0.0039991
1.29948	0.262864	0.00403294
1.31923	0.265428	0.00406866
1.33929	0.267995	0.00410671
1.35966	0.270565	0.00414751
1.38033	0.273138	0.00419156
1.40132	0.275715	0.00423943
1.42263	0.278295	0.00429169
1.44426	0.280878	0.00434899
1.46622	0.283464	0.00441199
1.48852	0.286053	0.00448138
1.51115	0.288645	0.00455791
1.53413	0.291241	0.00464231
1.55746	0.293839	0.00473533
1.58114	0.296439	0.00483773
1.60518	0.299043	0.00495022
1.62959	0.301648	0.00507355
1.65437	0.304257	0.00520839
1.67952	0.306867	0.00535537
1.70506	0.30948	0.0055151
1.73099	0.312095	0.00568812
1.75731	0.314711	0.0058749
1.78403	0.317329	0.00607587
1.81116	0.319948	0.00629139
1.8387	0.322569	0.00652177
1.86665	0.32519	0.00676723
1.89504	0.327813	0.00702797
1.92385	0.330436	0.00730411
1.95311	0.33306	0.00759574
1.9828	0.335683	0.00790291
2.01295	0.338306	0.00822558
2.04356	0.340928	0.00856374
2.07464	0.34355	0.0089173
2.10618	0.346171	0.00928615
2.13821	0.348789	0.00967018
2.17072	0.351407	0.0100692
2.20373	0.354022	0.010483
2.23724	0.356635	0.0109115
2.27126	0.359244	0.0113544
2.30579	0.361851	0.0118114
2.34085	0.364455	0.0122823
2.37645	0.367053	0.0127668
2.41258	0.369647	0.0132647
2.44927	0.372237	0.0137756
2.48651	0.374821	0.0142992
2.52432	0.377399	0.0148351
2.5627	0.379971	0.0153831
2.60167	0.382537	0.0159427
2.64123	0.385095	0.0165136
2.68139	0.387645	0.0170954
2.72216	0.390187	0.0176877
2.76355	0.39272	0.01829
2.80558	0.395244	0.018902
2.84824	0.397758	0.0195231
2.89155	0.400261	0.0201529
2.93551	0.402755	0.020791
2.98015	0.403532	0.0210436
3.02546	0.406579	0.0210544
3.07147	0.409619	0.0211015
3.11817	0.41264	0.021151
3.16559	0.415654	0.0212339
3.21372	0.418652	0.021319
3.26259	0.421643	0.0214318
3.3122	0.424622	0.0215464
3.36256	0.427596	0.0216808
3.41369	0.430562	0.0218164
3.4656	0.433526	0.0219623
3.51829	0.436487	0.0221086
3.57179	0.438765	0.0224344
3.6261	0.440958	0.0227281
3.68124	0.443071	0.0229925
3.73721	0.44511	0.0232305
3.79404	0.447074	0.0234448
3.85173	0.448969	0.023638
3.9103	0.450797	0.0238112
3.96976	0.452561	0.0239673
4.03012	0.454264	0.0241079
4.0914	0.455909	0.0242343
4.15361	0.457498	0.0243489
4.21677	0.459031	0.024451
4.28089	0.460512	0.024542
4.34598	0.46194	0.0246206
4.41207	0.463316	0.0246864
4.47915	0.46464	0.0247384
4.54726	0.46591	0.0247747
4.61641	0.467129	0.0247958
4.6866	0.468295	0.0248001
4.75786	0.469586	0.0249633
4.83021	0.470883	0.0251673
4.90366	0.472132	0.0253547
4.97822	0.473333	0.0255258
5.05392	0.474487	0.0256815
5.13076	0.475596	0.025821
5.20878	0.476659	0.0259442
5.28798	0.477679	0.0260529
5.36839	0.478657	0.0261454
5.45002	0.479593	0.0262235
5.53289	0.480488	0.0262862
5.61702	0.481344	0.0263346
5.70243	0.482161	0.0263691
5.78914	0.482941	0.0263896
5.87717	0.483685	0.0263963
5.96653	0.484393	0.0263897
6.05726	0.48463	0.0265496
6.14936	0.484865	0.0267102
6.24287	0.485095	0.0268745
6.33779	0.485321	0.0270413
6.43416	0.485538	0.0272155
6.532	0.485747	0.0273941
6.63132	0.485943	0.0275844
6.73215	0.48613	0.0277815
6.83452	0.486298	0.027995
6.93844	0.486455	0.0282182
7.04395	0.486589	0.0284628
7.15105	0.486709	0.0287202
7.25979	0.486803	0.0290045
7.37018	0.486882	0.0293045
7.48225	0.48693	0.0296365
7.59602	0.486962	0.0299873
7.71152	0.48696	0.0303743
7.82878	0.48694	0.0307824
7.94782	0.486885	0.0312298
8.06867	0.486812	0.0316998
8.19136	0.486703	0.0322105
8.31591	0.486576	0.0327439
8.44236	0.486413	0.0333173
8.57073	0.486233	0.0339124
8.70106	0.486021	0.0345444
8.83336	0.485793	0.0351958
8.96768	0.485537	0.0358787
9.10404	0.485269	0.0365774
9.24247	0.48498	0.0373002
9.38301	0.484681	0.0380342
9.52568	0.484369	0.0387833
9.67052	0.484053	0.0395382
9.81757	0.483731	0.0402983
9.96685	0.483097	0.0413167
10.1184	0.482444	0.0423417
10.2723	0.481775	0.0433729
10.4285	0.481089	0.0444106
10.587	0.480387	0.0454537
10.748	0.479671	0.0465021
10.9114	0.47894	0.0475556
11.0774	0.478195	0.0486135
11.2458	0.477436	0.049676
11.4168	0.476664	0.0507432
11.5904	0.475879	0.0518151
11.7666	0.47508	0.0528922
11.9455	0.47427	0.0539731
12.1272	0.473446	0.0550598
12.3116	0.472609	0.0561514
12.4988	0.471759	0.0572484
12.6888	0.470897	0.058351
12.8818	0.470021	0.0594602
13.0777	0.469133	0.0605759
13.2765	0.46823	0.0616989
13.4784	0.467313	0.0628294
13.6833	0.466382	0.0639682
13.8914	0.465436	0.0651152
14.1026	0.464475	0.0662718
14.3171	0.463499	0.0674383
14.5348	0.462507	0.0686144
14.7558	0.461498	0.0698022
14.9801	0.460472	0.0710012
15.2079	0.459429	0.0722135
15.4392	0.458369	0.0734377
15.6739	0.45729	0.0746751
15.9123	0.456192	0.075927
16.1542	0.455076	0.0771935
16.3999	0.453941	0.0784743
16.6492	0.452785	0.0797709
16.9024	0.451609	0.0810833
17.1594	0.450414	0.0824117
17.4203	0.449198	0.0837566
17.6852	0.447961	0.0851182
17.9541	0.446705	0.0864966
18.2271	0.445428	0.0878919
18.5043	0.444129	0.0893045
18.7856	0.442811	0.0907342
19.0713	0.441472	0.092181
19.3613	0.440114	0.0936444
19.6557	0.438735	0.0951247
19.9546	0.437337	0.0966212
20.258	0.43592	0.098134
20.566	0.434485	0.0996629
20.8787	0.433031	0.101207
21.1962	0.431558	0.102767
21.5185	0.430069	0.104341
21.8457	0.428564	0.105929
22.1779	0.427042	0.107531
22.5151	0.425503	0.109146
22.8575	0.423951	0.110774
23.205	0.422384	0.112415
23.5579	0.420802	0.114067
23.9161	0.419208	0.11573
24.2797	0.417602	0.117404
24.6489	0.415983	0.119088
25.0237	0.414352	0.120781
25.4042	0.412711	0.122483
25.7905	0.41106	0.124193
26.1827	0.409399	0.125912
26.5808	0.40773	0.127638
26.985	0.406051	0.129371
27.3953	0.404365	0.13111
27.8119	0.402671	0.132854
28.2348	0.40097	0.134605
28.6641	0.399263	0.13636
29.0999	0.397551	0.138119
29.5424	0.395832	0.139883
